,1975-76,,,1976-77,,,1977-78,,,1978-79,,,1979-80,,,1980-81,,,1981-82,,,1982-83,,,1983-84,,,1984-85,,,1985-86,,,1986-87,,,1987-88,,,1988-89,,,1989-90,,,1990-91,,,1991-92,,,1992-93,,,1993-94,,,1994-95,,,1995-96,,,,,,1996-97,,,,,,1997-98,,,,,,1998-99,,,,,,1999-00,,,,,,,,,,2000-01,,,,,,,,,,,2001-02,,,,,,,,,,,2002-03,,,,,,,,,,,2003-04,,,,,,,,,,,2004-05,,,,,,,,,,,2005-06,,,,,,,,,,,2006-07,,,,,,,,,,,2007-08,,,,,,,,,,,2008-09,,,,,,,,2009-10,,,,,,,,,,,2010-11,,,,,,,,,,,2011-12,,,,,,,,,,,2012-13,,,,,,,,,,,2013-14,,,,,,,,,,,2014-15,,,,,,,,,,,,,,2015-16,,,,,,,,,,,,,,2016-17,,,,,,,,,,,,,,2017-18,,,,,,,,,,,,,,2018-19,,,,,,,,,,,2019-20,,,,,,,,,,,2020-21,,,,,,,,,,,2021-22,,,,,,,,,,,2022-23,,,,,,,,2023-24,,
Area,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,houseSales,meanHousePrice,medianHousePrice,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,population,meanAnnualSalary,medianAnnualSalary,realAWE,weeklyRent,CPIH,CPI,OOH,nominalHousePrice,realHousePrice,trendInRealHouse,realAWE,weeklyRent,CPIH,CPI,OOH
City of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,"146,043","105,000",,,,284,"136,344","124,250",,,,328,"156,418","135,000",,,,436,"227,377","169,250",,,,545,"232,854","180,000","10,000","109,800","40,400",58.58,,,,441,"255,964","200,000","10,000","137,000","65,000",,58.7,,,,373,"266,277","237,500","12,000","92,900","38,300",,60.43,,,,393,"270,879","250,000","11,000","78,700","37,000",,63.12,,,,483,"322,733","285,000","10,000","85,800","39,200",,65.54,,,,378,"292,696","280,000","10,000","95,600","44,400",,68.36,,,,306,"329,697","310,000","10,000","90,600","49,300",,66.7,,,,300,"374,654","337,500","10,000","99,200","49,000",,65.39,,,,270,"490,706","416,250","10,000","102,000","58,500",,69.98,,,,143,"412,940","365,000",,73.07,,,,159,"449,611","400,000","9,000","137,000","61,900",,75.34,,,,237,"524,581","450,000","8,000","127,000","61,300",,76.64,,,,256,"541,192","465,000","8,000","117,000","51,600",,83,,,,197,"537,160","485,000","9,000","131,000","58,300",,90.16,,,,427,"775,504","615,000","9,000","151,000","65,300",,112.15,,,,,,,316,"894,046","769,100","9,000","144,000","61,100",,100.69,,,,,,,282,"926,292","800,000","10,000","142,000","60,000",,104.73,,,,,,,137,"928,037","831,400","12,000","157,000","57,300",,105.66,,,,,,,203,"950,760","835,000","11,000","148,000","60,000",,104.62,,,,,,,"12,000","142,000","55,200",,100.51,,,,,,,"12,000","128,000","54,200",,103.08,,,,,,,"10,000","142,000","56,700",,106.01,,,,,,,"9,000","167,000","62,200",,107.87,,,,,,,,112.64,,,
Barking and Dagenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,488","50,615","49,000",,,,"1,894","51,680","49,995",,,,"2,443","56,222","53,500",,,,"2,516","63,874","59,995",,,,"2,699","69,544","65,000","62,000","16,200","15,100",49.68,,,,"2,834","84,111","78,000"," 71,000 "," 18,100 "," 15,600 ",,52.24,,,,"3,227","94,451","89,500","56,000","18,600","16,200",,54.52,,,,"3,468","118,795","115,250","67,000","19,100","17,000",,57.56,,,,"3,638","145,661","140,000","67,000","18,800","17,400",,58.42,,,,"3,638","163,828","159,995","77,000","19,400","16,600",,60.7,,,,"2,901","169,663","163,000","83,000","20,600","17,900",,63.06,,,,"3,682","175,139","167,998","77,000","20,600","17,600",,66.13,,,,"4,016","192,859","185,000","78,000","21,300","18,600",,71.07,,,,"1,710","196,942","190,000",,74.05,,,,"1,266","166,483","160,000","76,000","23,100","19,400",,72.7,,,,"1,459","179,018","170,000","69,000","22,500","19,400",,73.97,,,,"1,463","180,165","170,000","73,000","22,800","19,600",,79.3,,,,"1,346","181,471","174,000","74,000","23,700","20,100",,88.29,,,,"1,743","187,943","180,995","77,000","24,600","21,000",,90.39,,,,,,,"2,123","215,810","215,000","74,000","25,500","21,800",,91.99,,,,,,,"2,240","244,126","245,500","83,000","25,900","22,100",,98.58,,,,,,,"2,063","289,176","290,000","88,000","26,700","23,300",,.,,,,,,,"1,880","301,518","300,000","85,000","27,400","23,900",,97.27,,,,,,,"85,000","28,800","25,200",,94.89,,,,,,,"85,000","29,400","25,700",,95.52,,,,,,,"87,000","30,800","26,800",,97.02,,,,,,,"90,000","31,800","28,000",,96.88,,,,,,,,102.74,,,
Barnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,758","111,019","85,125",,,,"6,254","111,203","87,000",,,,"6,853","135,580","100,000",,,,"6,500","147,673","113,995",,,,"7,616","173,356","135,000","161,000","26,800","18,700",55.35,,,,"6,648","199,147","159,000"," 156,000 "," 30,800 "," 19,400 ",,56.92,,,,"6,942","220,955","174,975","159,000","30,400","18,700",,57.78,,,,"7,447","257,942","207,000","150,000","32,300","19,700",,61.9,,,,"6,313","284,178","233,000","150,000","33,900","20,000",,62.24,,,,"6,798","306,902","249,000","155,000","32,800","19,900",,64.83,,,,"5,459","318,450","250,000","161,000","35,600","21,200",,67.76,,,,"6,832","341,937","273,000","173,000","36,700","20,400",,70.98,,,,"6,950","380,566","295,000","173,000","38,700","22,000",,75.08,,,,"3,493","387,784","280,000",,79.55,,,,"3,214","382,143","290,000","167,000","41,600","24,300",,81.77,,,,"4,209","444,386","325,000","176,000","38,800","24,100",,83.17,,,,"3,949","440,755","325,000","179,000","39,200","24,200",,95.75,,,,"4,085","450,269","330,000","172,000","41,000","25,800",,98.27,,,,"4,746","479,968","345,000","167,000","45,500","26,800",,98.29,,,,,,,"4,915","534,786","400,000","175,000","45,800","27,100",,101.05,,,,,,,"4,966","566,874","450,000","178,000","49,000","27,700",,103.36,,,,,,,"4,927","584,202","476,500","180,000","48,600","28,800",,102.92,,,,,,,"3,769","667,593","533,500","188,000","49,500","28,700",,102.75,,,,,,,"188,000","51,600","29,900",,102.52,,,,,,,"192,000","51,600","30,700",,101.37,,,,,,,"189,000","54,400","32,200",,104.61,,,,,,,"190,000","59,100","33,500",,107.27,,,,,,,,113.48,,,
Bexley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,430","66,294","62,000",,,,"3,987","69,941","65,000",,,,"4,742","75,484","71,000",,,,"4,301","85,497","79,000",,,,"5,101","94,395","86,000","105,000","20,500","17,200",LSVT,,,,"4,411","109,347","98,500"," 116,000 "," 19,800 "," 17,300 ",,LSVT,,,,"5,312","126,216","116,973","112,000","22,000","18,300",,LSVT,,,,"5,771","151,225","139,500","114,000","21,500","17,800",,LSVT,,,,"5,231","174,984","163,000","113,000","21,900","17,700",,LSVT,,,,"5,102","188,354","175,000","124,000","22,300","17,700",,LSVT,,,,"4,079","194,798","183,000","121,000","24,000","19,400",,LSVT,,,,"5,035","209,006","195,000","123,000","24,600","19,600",,LSVT,,,,"5,051","223,771","212,000","123,000","26,700","19,800",,LSVT,,,,"2,501","219,495","210,000",,LSVT,,,,"2,187","209,521","196,000","117,000","27,600","22,100",,LSVT,,,,"2,478","226,616","215,000","114,000","27,400","22,600",,LSVT,,,,"2,554","226,283","215,000","114,000","28,300","22,300",,LSVT,,,,"2,878","225,465","210,000","115,000","28,600","23,100",,LSVT,,,,"3,350","236,952","225,000","118,000","29,600","24,400",,LSVT,,,,,,,"3,872","267,268","250,000","122,000","30,200","24,400",,LSVT,,,,,,,"3,821","295,262","285,000","127,000","30,900","24,500",,LSVT,,,,,,,"3,371","340,626","328,000","125,000","32,300","26,100",,LSVT,,,,,,,"3,161","357,779","342,500","122,000","33,500","26,900",,LSVT,,,,,,,"130,000","34,600","26,900",,LSVT,,,,,,,"126,000","36,000","28,000",,..,,,,,,,"126,000","36,400","28,800",,..,,,,,,,"135,000","38,000","29,300",,..,,,,,,,,..,,,
Brent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,473","77,258","68,000",,,,"3,832","82,824","73,000",,,,"4,343","96,499","83,500",,,,"4,373","111,868","96,000",,,,"4,733","125,958","112,000","122,000","20,000","16,500",72.59,,,,"4,538","154,194","139,000"," 130,000 "," 22,200 "," 16,800 ",,72.81,,,,"4,837","175,865","158,000","127,000","21,100","16,500",,74.48,,,,"4,915","210,014","187,000","116,000","21,700","16,400",,74.15,,,,"4,318","230,062","210,000","119,000","22,500","16,800",,74.28,,,,"4,154","249,534","223,500","137,000","21,800","16,500",,77.03,,,,"3,330","266,301","240,000","135,000","23,200","17,600",,79.87,,,,"4,004","284,109","249,950","144,000","24,600","18,200",,78.64,,,,"4,351","321,197","280,000","161,000","24,700","18,300",,83.32,,,,"2,096","328,763","275,000",,86.83,,,,"1,601","322,691","275,000","145,000","26,100","19,600",,87.48,,,,"2,427","345,055","283,000","146,000","26,700","19,700",,88.35,,,,"2,218","360,423","300,000","149,000","27,400","20,200",,95.08,,,,"2,076","395,126","322,500","144,000","28,300","20,600",,104.52,,,,"2,439","429,877","347,500","150,000","29,700","21,300",,112.81,,,,,,,"2,850","468,859","385,000","147,000","31,200","22,700",,114.53,,,,,,,"2,927","506,322","415,000","154,000","32,600","23,200",,113.62,,,,,,,"2,864","517,497","445,000","155,000","34,100","24,100",,112.71,,,,,,,"1,979","578,705","499,950","155,000","35,400","24,700",,113.66,,,,,,,"159,000","36,300","25,600",,113.25,,,,,,,"155,000","37,800","26,200",,112.66,,,,,,,"152,000","40,400","27,200",,116.07,,,,,,,"149,000","44,100","30,000",,120.29,,,,,,,,125.32,,,
Bromley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,798","93,441","76,625",,,,"6,483","97,597","80,000",,,,"7,353","105,027","86,000",,,,"6,212","118,048","99,995",,,,"7,246","138,486","116,500","163,000","25,100","18,500",LSVT,,,,"6,636","164,025","135,000","167,000","26,400","19,500",,LSVT,,,,"7,606","182,176","152,725","164,000","27,400","19,100",,LSVT,,,,"8,163","209,252","176,820","160,000","27,700","20,100",,LSVT,,,,"6,958","238,066","205,000","150,000","29,200","21,400",,LSVT,,,,"7,602","259,452","225,000","169,000","29,200","20,900",,LSVT,,,,"6,399","267,788","230,000","173,000","31,400","22,400",,LSVT,,,,"8,472","282,058","242,500","177,000","32,800","23,000",,LSVT,,,,"8,069","316,391","260,000","181,000","34,400","23,200",,LSVT,,,,"3,788","304,375","250,000",,LSVT,,,,"3,947","301,946","249,000","163,000","36,500","24,900",,LSVT,,,,"4,413","327,306","275,000","161,000","35,900","25,800",,LSVT,,,,"4,363","336,236","275,000","168,000","36,400","25,100",,LSVT,,,,"4,854","333,020","277,500","169,000","37,200","26,900",,LSVT,,,,"5,458","354,045","295,000","173,000","39,000","27,200",,LSVT,,,,,,,"6,076","397,487","335,000","168,000","40,400","28,100",,LSVT,,,,,,,"5,957","441,675","375,000","171,000","43,500","29,800",,LSVT,,,,,,,"5,242","478,142","420,000","172,000","44,000","30,400",,LSVT,,,,,,,"4,663","502,623","440,000","174,000","45,500","32,000",,LSVT,,,,,,,"177,000","46,600","32,800",,LSVT,,,,,,,"176,000","48,200","33,700",,..,,,,,,,"177,000","49,300","33,800",,..,,,,,,,"176,000","54,500","35,800",,..,,,,,,,,202.01,,,
Camden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,823","151,364","114,000",,,,"3,688","168,988","127,500",,,,"4,086","193,421","145,000",,,,"3,664","220,291","160,000",,,,"4,083","248,232","190,000","85,000","39,000","20,500",59.77,,,,"3,582","311,696","235,000","107,000","40,000","19,700",,62.92,,,,"3,702","339,288","249,995","101,000","42,800","19,800",,65.3,,,,"3,947","377,033","279,950","96,000","43,000","21,700",,68.93,,,,"3,221","377,836","273,000","90,000","45,700","21,300",,69.79,,,,"3,833","411,840","305,000","97,000","50,200","23,200",,68.18,,,,"3,395","440,809","325,000","97,000","56,200","24,200",,72.14,,,,"4,210","492,802","357,500","101,000","60,200","25,900",,75.28,,,,"3,690","562,205","410,000","107,000","69,800","26,900",,78.6,,,,"2,093","656,935","440,000",,81.9,,,,"2,222","600,683","417,500","103,000","68,900","28,400",,84.51,,,,"2,769","716,429","478,500","101,000","67,100","29,400",,85.64,,,,"2,650","724,250","483,500","104,000","69,300","30,400",,91.54,,,,"2,432","780,751","500,000","105,000","71,200","31,600",,103.96,,,,"2,936","836,170","585,000","99,000","78,900","32,000",,103.96,,,,,,,"2,724","966,927","675,000","104,000","79,200","33,100",,109.79,,,,,,,"2,450","1,040,035","705,000","103,000","85,000","34,400",,114.72,,,,,,,"2,145","1,063,248","735,000","103,000","88,000","35,500",,113.57,,,,,,,"2,128","1,099,876","760,000","101,000","92,600","37,300",,113.03,,,,,,,"106,000","87,400","35,600",,112.59,,,,,,,"104,000","96,900","38,200",,111.03,,,,,,,"100,000","107,000","38,900",,113.88,,,,,,,"108,000","119,000","38,900",,115.4,,,,,,,,120.40,,,
Croydon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,232","71,800","60,000",,,,"6,489","75,678","64,500",,,,"7,511","83,343","71,000",,,,"7,383","94,296","79,000",,,,"8,003","107,094","89,000","152,000","21,500","16,700",64.2,,,,"6,154","128,084","110,000","162,000","22,100","17,300",,67.95,,,,"7,000","144,254","126,000","153,000","23,500","18,300",,65.69,,,,"8,619","172,274","150,100","166,000","23,400","18,000",,69.05,,,,"7,652","196,228","172,000","165,000","23,300","19,000",,65.53,,,,"7,709","209,354","185,000","175,000","24,300","18,600",,67.89,,,,"6,339","218,049","194,500","173,000","25,800","19,600",,70.48,,,,"8,163","230,773","205,000","171,000","27,200","20,700",,73.68,,,,"8,271","247,869","222,500","179,000","28,100","20,900",,79.19,,,,"3,900","253,571","226,500",,81.57,,,,"3,393","233,442","200,000","166,000","29,700","23,100",,84.33,,,,"3,643","254,458","220,000","173,000","29,000","22,000",,85.12,,,,"3,512","256,219","220,000","171,000","29,700","22,700",,95.81,,,,"3,634","262,587","230,000","174,000","30,700","23,900",,100.13,,,,"4,811","271,891","239,950","173,000","31,800","24,300",,104.99,,,,,,,"5,841","300,572","265,000","176,000","32,600","25,100",,107.37,,,,,,,"5,617","340,768","306,000","178,000","34,200","26,300",,106.64,,,,,,,"5,177","372,054","338,000","186,000","33,800","25,600",,105.46,,,,,,,"4,725","399,645","365,000","183,000","35,600","27,500",,104.42,,,,,,,"187,000","36,500","27,800",,103.4,,,,,,,"184,000","37,800","29,400",,103.48,,,,,,,"189,000","38,300","29,100",,106.24,,,,,,,"192,000","40,900","30,400",,108.71,,,,,,,,113.18,,,
Ealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,068","91,045","75,000",,,,"5,169","97,595","80,000",,,,"5,963","112,582","90,000",,,,"5,727","126,671","103,000",,,,"6,268","153,236","125,000","130,000","22,800","16,400",60.85,,,,"5,387","176,993","145,000","149,000","23,800","17,000",,63.26,,,,"6,156","196,261","163,000","141,000","25,200","17,500",,65.82,,,,"6,348","227,974","190,000","141,000","25,400","18,900",,67.77,,,,"5,858","238,760","210,000","135,000","26,100","19,400",,64.2,,,,"6,089","260,325","231,000","154,000","26,500","19,100",,66.52,,,,"4,950","271,985","235,000","165,000","26,900","19,000",,69.01,,,,"6,564","292,639","248,000","159,000","28,700","19,900",,73.68,,,,"6,237","327,798","270,000","169,000","30,000","20,200",,77.45,,,,"2,783","327,502","270,000",,78.67,,,,"2,398","328,818","257,750","156,000","32,400","21,800",,82.02,,,,"3,213","350,588","279,275","166,000","30,700","20,800",,82.02,,,,"3,035","375,143","293,000","162,000","32,000","21,300",,86.14,,,,"3,253","397,675","310,000","163,000","32,600","22,700",,92.89,,,,"3,806","427,847","326,000","166,000","34,500","23,200",,92.45,,,,,,,"3,378","501,526","387,775","167,000","35,300","24,600",,95.19,,,,,,,"3,486","524,967","432,000","175,000","37,000","24,900",,97.45,,,,,,,"3,060","553,669","465,000","177,000","37,300","26,100",,96.47,,,,,,,"2,527","578,110","485,000","170,000","39,700","26,700",,95.81,,,,,,,"173,000","39,800","26,400",,95.83,,,,,,,"170,000","42,700","28,200",,95.46,,,,,,,"172,000","44,100","29,500",,98.34,,,,,,,"178,000","46,800","30,900",,100.12,,,,,,,,104.08,,,
